id,user,question,lo,hi,ci,solution,state
1,user1,Ansar Burney: Humanitarian activities: Prominent cases: Mehar Din: He was released in [____] after he was discovered by Burney of the Prisoners Aid Society.,1800,2020,0.9,1987,answered
2,user1,Qalkhani Rural District: The rural district has [____] villages.,1,100,0.9,53,answered
3,user1,"Tauqeer Raza Khan: Career: Political career: In the first municipal election the party contested, it won [____] seats.",0,600,0.9,10,answered
5,user2,The Kidd Kraddick Morning Show: Affiliates: There are currently [____] affiliated stations airing The Kidd Kraddick Morning Show.,0,20,0.9,70,answered
6,user3,The Kidd Kraddick Morning Show: Affiliates: There are currently [____] affiliated stations airing The Kidd Kraddick Morning Show.,0,16,0.9,70,answered
7,user2,Project Grab Bag: Background: The descent to altitudes of the order of [____] ft could take of the order of two to three hours.,0,30000,0.9,15000,answered
8,user3,Project Grab Bag: Background: The descent to altitudes of the order of [____] ft could take of the order of two to three hours.,1,15,0.9,15000,answered
9,user2,WUUQ: History: The [____] frequency was sports talk.,0,1000,0.9,980,answered
10,user3,WUUQ: History: The [____] frequency was sports talk.,1,500,0.9,980,answered
11,user2,Rollerball (video game): Gameplay: Losing a ball: Scoring [____] points enables the credits after the final ball is drained.,-1000000,1000000,0.9,1000000,answered
12,user3,Rollerball (video game): Gameplay: Losing a ball: Scoring [____] points enables the credits after the final ball is drained.,1,100000000,0.9,1000000,answered
13,user2,Jeremy Cameron: He has been the Giants's leading goal-kicker for [____] consecutive seasons.,1,1000,0.9,8,answered
14,user3,Jeremy Cameron: He has been the Giants's leading goal-kicker for [____] consecutive seasons.,2,20,0.9,8,answered
15,user3,"Train Advise Assist Command - South: Regional Command - South: Terry, Commanding General, [____] Mountain Division, assumes command of Regional Command South.",0,500,0.9,10,answered
16,user3,"William Augustine Morgan: Career: He would continue as deputy sheriff for [____] years, until his death.",1,50,0.9,26,answered
17,user2,"Train Advise Assist Command - South: Regional Command - South: Terry, Commanding General, [____] Mountain Division, assumes command of Regional Command South.",-100000,100000,0.9,10,answered
18,user2,"William Augustine Morgan: Career: He would continue as deputy sheriff for [____] years, until his death.",0,100,0.9,26,answered
19,user1,AECC University College: Facilities: Interns in the clinic perform more than [____] treatments every year.,1,3,0.9,55000,answered
22,user3,"Oka (mass): In Greece, an oka of oil was [____] kg.",0,10000,0.9,1.28,answered
23,user2,"Oka (mass): In Greece, an oka of oil was [____] kg.",0.1,1000,0.9,1.28,answered
24,user7,"Oka (mass): In Greece, an oka of oil was [____] kg.",3,5,0.9,1.28,answered
25,user6,"Oka (mass): In Greece, an oka of oil was [____] kg.",1,1000,0.9,1.28,answered
26,user8,"Oka (mass): In Greece, an oka of oil was [____] kg.",0.1,100,0.9,1.28,answered
27,user5,"Oka (mass): In Greece, an oka of oil was [____] kg.",0.01,10,0.9,1.28,answered
28,user9,"Oka (mass): In Greece, an oka of oil was [____] kg.",0.5,10,0.9,1.28,answered
29,user9,David S Rosenblatt: Career: He has authored over [____] publications in peer reviewed journals.,1,250,0.9,200,answered
30,user2,David S Rosenblatt: Career: He has authored over [____] publications in peer reviewed journals.,0,1000,0.9,200,answered
