alpha,delta_theta,coefficient
-2,1.6752183,xx
-1.8,1.539571472,xx
-1.6,1.422325605,xx
-1.4,1.3214047,xx
-1.2,1.235363341,xx
-1,1.163250876,xx
-0.8,1.104502049,xx
-0.6,1.058839676,xx
-0.4,1.026181571,xx
-0.2,1.006551312,xx
0,0.9999999999,xx
0.2,1.006551312,xx
0.4,1.026181572,xx
0.6,1.058839676,xx
0.8,1.104502049,xx
1,1.163250876,xx
1.2,1.23536334,xx
1.4,1.3214047,xx
1.6,1.422325605,xx
1.8,1.539571472,xx
2,1.6752183,xx
-2,1.6752183,xz
-1.8,1.539571471,xz
-1.6,1.422325605,xz
-1.4,1.3214047,xz
-1.2,1.235363341,xz
-1,1.163250876,xz
-0.8,1.104502049,xz
-0.6,1.058839676,xz
-0.4,1.026181571,xz
-0.2,1.006551313,xz
0,0.9999999999,xz
0.2,1.006551312,xz
0.4,1.026181572,xz
0.6,1.058839676,xz
0.8,1.104502049,xz
1,1.163250876,xz
1.2,1.23536334,xz
1.4,1.3214047,xz
1.6,1.422325605,xz
1.8,1.539571472,xz
2,1.675218301,xz
-2,3.05100973,zx
-1.8,2.537660251,zx
-1.6,2.152111247,zx
-1.4,1.852088916,zx
-1.2,1.613471629,zx
-1,1.42208783,zx
-0.8,1.26977382,zx
-0.6,1.152295179,zx
-0.4,1.068063304,zx
-0.2,1.017096287,zx
0,0.9999999999,zx
0.2,1.017096287,zx
0.4,1.068063304,zx
0.6,1.15229518,zx
0.8,1.26977382,zx
1,1.42208783,zx
1.2,1.613471629,zx
1.4,1.852088917,zx
1.6,2.152111247,zx
1.8,2.537660251,zx
2,3.05100973,zx
-2,3.05100973,zz
-1.8,2.53766025,zz
-1.6,2.152111246,zz
-1.4,1.852088917,zz
-1.2,1.613471628,zz
-1,1.42208783,zz
-0.8,1.26977382,zz
-0.6,1.15229518,zz
-0.4,1.068063304,zz
-0.2,1.017096287,zz
0,0.9999999999,zz
0.2,1.017096287,zz
0.4,1.068063304,zz
0.6,1.152295179,zz
0.8,1.26977382,zz
1,1.42208783,zz
1.2,1.613471629,zz
1.4,1.852088916,zz
1.6,2.152111246,zz
1.8,2.537660252,zz
2,3.051009731,zz
