alpha_xx,alpha_xz,alpha_zx,alpha_zz,delta_theta
1.095824194,-0.244486241,1.43439168,0.7894721162,2.252176216
-1.623290608,1.902489407,1.044558808,1.144257221,3.784782318
-1.487545469,-0.1984562484,-0.5168079031,1.707059955,3.021650151
0.5754604803,1.291046453,-0.2263432047,-1.091045113,1.842362193
0.2183391481,-1.744730976,1.310524688,0.5266575965,1.991061758
1.03235096,-0.5818961275,1.882792098,1.572484485,3.106019176
1.113533988,-1.221445169,-0.1331159851,-1.824784937,4.245629827
-1.382842032,0.732195813,0.9790486236,1.87003893,12.03000792
-0.6966985674,-0.5181611759,-0.1217767549,-1.242114564,1.815331225
-1.480313979,-0.0971802951,-1.092362604,0.6792559787,1.967408642
-0.2513923245,1.330712784,0.801060408,-0.7505334345,1.624510715
1.329039206,1.21905743,-0.4500864839,-0.8466875843,1.903530972
0.7299820159,-1.440990066,-1.20036719,-1.970550921,94.42374826
1.14769751,0.6594034264,0.8206615145,1.122916124,2.112355307
-0.1643368978,0.2749647838,-1.440812007,-1.541879706,3.126006962
0.6736118472,-0.1156151754,0.2609444259,1.05999543,1.650521301
0.53887328,0.2143176026,0.236828643,-0.7841996077,1.144779238
-1.876728662,-0.2531304431,-1.141661309,-0.3658854251,2.257891703
1.413612293,-1.064242057,-1.766789033,-0.8744644319,7.655733681
-0.8256249689,0.6476660589,0.2281286094,1.135592836,1.386327472
0.6572541613,-0.3744525542,1.256081539,-1.33210832,2.833601129
-1.909151707,-1.639808557,0.8894374024,-0.152491079,2.198256001
-1.354912884,0.004179100413,-1.390751589,0.7852815003,2.617771491
-0.2153748977,-0.4759150956,-0.7939516434,0.5211303725,1.248196781
-0.5527495578,-1.649400323,-1.527976392,1.847590658,19.89025057
1.634322763,0.7988285352,-0.9365201542,1.876705509,2.221810526
1.115003616,0.8675607566,-0.2025539914,-0.9110337526,1.463118507
-1.614436151,1.610409586,-0.1768948407,-1.190546541,2.137721044
-0.7761735034,0.3168782758,-1.292908868,1.426457136,3.252054127
1.034078119,0.8778518238,-0.2716278409,0.5092353628,1.542433788
0.3363918757,0.5993864062,-1.662222715,-0.3367703913,2.278883255
