T_H,theta,jz_mean,jz_var,d_jz_analytical,d_jz_numerical,delta_theta_analytical,delta_theta_numerical,delta_theta_theory,is_fringe_extremum,abs_sin
0.1,0.5,-0.4993751302,0.0006244793402,0.002498958464,0.002498958485,10,9.999999916,10,False,0.04997916927
0.1013939458,0.5,-0.4993575918,0.0006419954668,0.002569082228,0.002569082169,9.862521795,9.862522019,9.862521795,False,0.05067525892
0.1028073224,0.5,-0.4993395613,0.0006600024725,0.002641172881,0.002641172892,9.726933615,9.726933576,9.726933615,False,0.05138102655
0.1042404007,0.5,-0.4993210249,0.0006785140892,0.002715285542,0.002715285552,9.593209478,9.593209444,9.593209478,False,0.052096606
0.1056934554,0.5,-0.4993019683,0.0006975444318,0.002791476874,0.002791476855,9.461323756,9.46132382,9.461323756,False,0.05282213293
0.1071667648,0.5,-0.499282377,0.000717108008,0.002869805122,0.002869805088,9.331251175,9.331251286,9.331251175,False,0.05355774484
0.1086606114,0.5,-0.499262236,0.0007372197301,0.002950330161,0.002950330175,9.202966809,9.202966767,9.202966809,False,0.0543035811
0.1101752814,0.5,-0.4992415298,0.0007578949255,0.003033113541,0.003033113621,9.076446073,9.076445833,9.076446073,False,0.05505978298
0.1117110651,0.5,-0.4992202426,0.0007791493487,0.003118218533,0.003118218544,8.951664721,8.951664687,8.951664721,False,0.05582649366
0.1132682567,0.5,-0.4991983582,0.0008009991926,0.003205710174,0.00320571017,8.828598841,8.828598855,8.828598841,False,0.05660385826
0.1148471548,0.5,-0.4991758597,0.0008234611009,0.003295655324,0.003295655276,8.707224849,8.707224975,8.707224849,False,0.05739202387
0.1164480618,0.5,-0.49915273,0.0008465521805,0.003388122708,0.003388122671,8.587519485,8.587519579,8.587519485,False,0.05819113955
0.1180712847,0.5,-0.4991289513,0.0008702900143,0.003483182974,0.003483182964,8.469459808,8.469459831,8.469459808,False,0.0590013564
0.1197171343,0.5,-0.4991045054,0.0008946926741,0.003580908741,0.003580908681,8.353023195,8.353023337,8.353023195,False,0.05982282755
0.1213859263,0.5,-0.4990793737,0.0009197787344,0.003681374662,0.003681374594,8.238187331,8.238187483,8.238187331,False,0.0606557082
0.1230779803,0.5,-0.4990535369,0.0009455672858,0.00378465747,0.003784657449,8.124930211,8.124930257,8.124930211,False,0.06150015564
0.1247936205,0.5,-0.4990269753,0.0009720779497,0.003890836046,0.003890836042,8.013230128,8.013230137,8.013230128,False,0.06235632926
0.1265331759,0.5,-0.4989996684,0.0009993308926,0.003999991472,0.003999991449,7.903065679,7.903065723,7.903065679,False,0.06322439063
0.1282969798,0.5,-0.4989715955,0.001027346841,0.004112207093,0.004112207075,7.79441575,7.794415784,7.79441575,False,0.06410450347
0.1300853701,0.5,-0.4989427351,0.001056147097,0.004227568583,0.004227568573,7.687259522,7.68725954,7.687259522,False,0.06499683369
0.1318986896,0.5,-0.498913065,0.001085753555,0.004346164008,0.004346163984,7.581576458,7.581576499,7.581576458,False,0.06590154945
0.1337372858,0.5,-0.4988825626,0.001116188715,0.00446808389,0.004468083875,7.477346305,7.477346331,7.477346305,False,0.06681882114
0.1356015111,0.5,-0.4988512046,0.001147475702,0.00459342128,0.00459342131,7.37454909,7.374549042,7.37454909,False,0.06774882144
0.1374917226,0.5,-0.4988189669,0.001179638282,0.004722271822,0.004722271851,7.273165113,7.273165067,7.273165113,False,0.06869172534
0.1394082826,0.5,-0.4987858249,0.001212700882,0.004854733831,0.004854733837,7.173174944,7.173174935,7.173174944,False,0.06964771015
0.1413515585,0.5,-0.4987517533,0.001246688604,0.004990908363,0.004990908464,7.074559423,7.074559279,7.074559423,False,0.07061695557
0.1433219226,0.5,-0.498716726,0.001281627244,0.005130899293,0.005130899289,6.97729965,6.977299655,6.97729965,False,0.07159964368
