T_H,theta,jz_mean,jz_var,d_jz_analytical,d_jz_numerical,delta_theta_analytical,delta_theta_numerical,delta_theta_theory,is_fringe_extremum,abs_sin
0.1,1,-0.4975020826,0.00249167777,0.004991670832,0.004991670799,10,10.00000007,10,False,0.09983341665
0.1013939458,1,-0.4974320181,0.002561387336,0.005131562858,0.005131562841,9.862521795,9.862521826,9.862521795,False,0.1012203011
0.1028073224,1,-0.4973599901,0.002633040238,0.005275368431,0.005275368364,9.726933615,9.726933738,9.726933615,False,0.102626317
0.1042404007,1,-0.4972859436,0.002706690255,0.00542319664,0.005423196697,9.593209478,9.593209376,9.593209478,False,0.1040517228
0.1056934554,1,-0.4972098223,0.002782392635,0.005575159591,0.005575159612,9.461323756,9.461323721,9.461323756,False,0.1054967798
0.1071667648,1,-0.497131568,0.00286020413,0.005731372492,0.005731372488,9.331251175,9.331251182,9.331251175,False,0.1069617526
0.1086606114,1,-0.4970511211,0.002940183033,0.005891953733,0.005891953786,9.202966809,9.202966726,9.202966809,False,0.1084469093
0.1101752814,1,-0.4969684203,0.003022389227,0.006057024978,0.006057024993,9.076446073,9.076446051,9.076446073,False,0.1099525211
0.1117110651,1,-0.4968834026,0.003106884215,0.00622671125,0.006226711285,8.951664721,8.95166467,8.951664721,False,0.1114788628
0.1132682567,1,-0.4967960032,0.003193731175,0.006401141023,0.006401141006,8.828598841,8.828598865,8.828598841,False,0.1130262124
0.1148471548,1,-0.4967061556,0.003282994993,0.006580446319,0.006580446327,8.707224849,8.707224839,8.707224849,False,0.1145948514
0.1164480618,1,-0.4966137913,0.003374742313,0.006764762797,0.00676476275,8.587519485,8.587519545,8.587519485,False,0.1161850647
0.1180712847,1,-0.4965188399,0.003469041582,0.006954229859,0.006954229831,8.469459808,8.469459842,8.469459808,False,0.1177971406
0.1197171343,1,-0.4964212293,0.003565963097,0.007148990745,0.007148990733,8.353023195,8.35302321,8.353023195,False,0.119431371
0.1213859263,1,-0.4963208851,0.003665579051,0.007349192642,0.007349192671,8.238187331,8.238187299,8.238187331,False,0.1210880514
0.1230779803,1,-0.4962177309,0.003767963583,0.007554986786,0.007554986803,8.124930211,8.124930193,8.124930211,False,0.1227674808
0.1247936205,1,-0.4961116882,0.00387319283,0.007766528574,0.007766528642,8.013230128,8.013230058,8.013230128,False,0.1244699615
0.1265331759,1,-0.4960026764,0.003981344975,0.007983977672,0.007983977646,7.903065679,7.903065705,7.903065679,False,0.1261957998
0.1282969798,1,-0.4958906126,0.0040925003,0.008207498137,0.008207498126,7.79441575,7.794415761,7.79441575,False,0.1279453055
0.1300853701,1,-0.4957754116,0.004206741243,0.008437258527,0.008437258503,7.687259522,7.687259543,7.687259522,False,0.1297187919
0.1318986896,1,-0.4956569858,0.004324152447,0.008673432025,0.008673432,7.581576458,7.581576479,7.581576458,False,0.1315165761
0.1337372858,1,-0.4955352451,0.004444820822,0.008916196565,0.008916196531,7.477346305,7.477346333,7.477346305,False,0.1333389789
0.1356015111,1,-0.4954100972,0.004568835598,0.009165734954,0.009165734866,7.37454909,7.374549161,7.37454909,False,0.1351863247
0.1374917226,1,-0.4952814469,0.004696288386,0.009422235006,0.009422235048,7.273165113,7.273165081,7.273165113,False,0.1370589419
0.1394082826,1,-0.4951491965,0.004827273235,0.009685889674,0.009685889618,7.173174944,7.173174986,7.173174944,False,0.1389571622
0.1413515585,1,-0.4950132456,0.004961886695,0.009956897186,0.009956897168,7.074559423,7.074559436,7.074559423,False,0.1408813216
0.1433219226,1,-0.494873491,0.005100227881,0.01023546119,0.01023546128,6.97729965,6.977299583,6.97729965,False,0.1428317595
0.1453197524,1,-0.4947298267,0.005242398532,0.01052179088,0.01052179091,6.881376986,6.881376966,6.881376986,False,0.1448088192
0.147345431,1,-0.4945821438,0.00538850308,0.01081610118,0.01081610113,6.786773051,6.786773082,6.786773051,False,0.1468128479
0.1493993464,1,-0.4944303301,0.005538648716,0.01111861284,0.01111861278,6.693469713,6.69346975,6.693469713,False,0.1488441966
