drive,azz,delta_theta,theta_value,slice_type
-5,-5,0.1003590003,0.1,ax
-5,-4.95,0.100640596,0.1,ax
-5,-4.9,0.1010458543,0.1,ax
-5,-4.85,0.1015970548,0.1,ax
-5,-4.8,0.1023146678,0.1,ax
-5,-4.75,0.1032166351,0.1,ax
-5,-4.7,0.1043176503,0.1,ax
-5,-4.65,0.1056284488,0.1,ax
-5,-4.6,0.1071551239,0.1,ax
-5,-4.55,0.1088985009,0.1,ax
-5,-4.5,0.1108535963,0.1,ax
-5,-4.45,0.1130091925,0.1,ax
-5,-4.4,0.1153475524,0.1,ax
-5,-4.35,0.1178442942,0.1,ax
-5,-4.3,0.1204684473,0.1,ax
-5,-4.25,0.1231827057,0.1,ax
-5,-4.2,0.1259438966,0.1,ax
-5,-4.15,0.1287036868,0.1,ax
-5,-4.1,0.1314095423,0.1,ax
-5,-4.05,0.1340059563,0.1,ax
-5,-4,0.1364359483,0.1,ax
-5,-3.95,0.138642819,0.1,ax
-5,-3.9,0.1405721209,0.1,ax
-5,-3.85,0.1421737752,0.1,ax
-5,-3.8,0.1434042339,0.1,ax
-5,-3.75,0.1442285586,0.1,ax
-5,-3.7,0.1446222659,0.1,ax
-5,-3.65,0.1445727872,0.1,ax
-5,-3.6,0.144080403,0.1,ax
-5,-3.55,0.14315854,0.1,ax
-5,-3.5,0.1418333728,0.1,ax
-5,-3.45,0.14014273,0.1,ax
-5,-3.4,0.1381343646,0.1,ax
-5,-3.35,0.1358637092,0.1,ax
-5,-3.3,0.1333912783,0.1,ax
-5,-3.25,0.1307799045,0.1,ax
-5,-3.2,0.1280920024,0.1,ax
-5,-3.15,0.1253870374,0.1,ax
-5,-3.1,0.1227193492,0.1,ax
-5,-3.05,0.120136441,0.1,ax
-5,-3,0.1176777982,0.1,ax
-5,-2.95,0.1153742591,0.1,ax
-5,-2.9,0.113247913,0.1,ax
-5,-2.85,0.1113124678,0.1,ax
-5,-2.8,0.1095739972,0.1,ax
-5,-2.75,0.1080319648,0.1,ax
-5,-2.7,0.1066804087,0.1,ax
-5,-2.65,0.1055091863,0.1,ax
-5,-2.6,0.1045051815,0.1,ax
-5,-2.55,0.1036534078,0.1,ax
-5,-2.5,0.1029379604,0.1,ax
-5,-2.45,0.1023427932,0.1,ax
-5,-2.4,0.1018523162,0.1,ax
-5,-2.35,0.101451825,0.1,ax
-5,-2.3,0.1011277831,0.1,ax
-5,-2.25,0.1008679795,0.1,ax
-5,-2.2,0.1006615907,0.1,ax
-5,-2.15,0.1004991694,0.1,ax
-5,-2.1,0.1003725818,0.1,ax
-5,-2.05,0.1002749129,0.1,ax
-5,-2,0.1002003518,0.1,ax
-5,-1.95,0.1001440689,0.1,ax
-5,-1.9,0.1001020933,0.1,ax
-5,-1.85,0.1000711944,0.1,ax
-5,-1.8,0.100048771,0.1,ax
-5,-1.75,0.100032752,0.1,ax
-5,-1.7,0.1000215065,0.1,ax
-5,-1.65,0.1000137655,0.1,ax
-5,-1.6,0.1000085548,0.1,ax
-5,-1.55,0.1000051363,0.1,ax
-5,-1.5,0.1000029601,0.1,ax
-5,-1.45,0.1000016233,0.1,ax
-5,-1.4,0.1000008371,0.1,ax
-5,-1.35,0.100000399,0.1,ax
-5,-1.3,0.1000001714,0.1,ax
-5,-1.25,0.1000000636,0.1,ax
-5,-1.2,0.1000000189,0.1,ax
-5,-1.15,0.1000000039,0.1,ax
-5,-1.1,0.1000000004,0.1,ax
-5,-1.05,0.1,0.1,ax
-5,-1,0.1,0.1,ax
-5,-0.95,0.1000000004,0.1,ax
-5,-0.9,0.1000000022,0.1,ax
-5,-0.85,0.1000000066,0.1,ax
-5,-0.8,0.1000000138,0.1,ax
-5,-0.75,0.1000000237,0.1,ax
-5,-0.7,0.1000000354,0.1,ax
-5,-0.65,0.1000000476,0.1,ax
-5,-0.6,0.1000000589,0.1,ax
-5,-0.55,0.1000000677,0.1,ax
-5,-0.5,0.1000000731,0.1,ax
-5,-0.45,0.1000000744,0.1,ax
-5,-0.4,0.1000000714,0.1,ax
-5,-0.35,0.1000000644,0.1,ax
-5,-0.3,0.1000000543,0.1,ax
-5,-0.25,0.1000000422,0.1,ax
-5,-0.2,0.1000000295,0.1,ax
-5,-0.15,0.1000000178,0.1,ax
-5,-0.1,0.1000000083,0.1,ax
-5,-0.05,0.1000000021,0.1,ax
-5,0,0.1,0.1,ax
-5,0.05,0.1000000022,0.1,ax
-5,0.1,0.1000000084,0.1,ax
-5,0.15,0.100000018,0.1,ax
-5,0.2,0.1000000299,0.1,ax
-5,0.25,0.1000000429,0.1,ax
-5,0.3,0.1000000552,0.1,ax
-5,0.35,0.1000000657,0.1,ax
-5,0.4,0.100000073,0.1,ax
-5,0.45,0.1000000763,0.1,ax
-5,0.5,0.1000000751,0.1,ax
-5,0.55,0.1000000695,0.1,ax
-5,0.6,0.1000000604,0.1,ax
-5,0.65,0.1000000489,0.1,ax
-5,0.7,0.1000000363,0.1,ax
-5,0.75,0.1000000243,0.1,ax
-5,0.8,0.100000014,0.1,ax
-5,0.85,0.1000000067,0.1,ax
-5,0.9,0.1000000023,0.1,ax
-5,0.95,0.1000000004,0.1,ax
-5,1,0.1,0.1,ax
-5,1.05,0.09999999998,0.1,ax
-5,1.1,0.1000000004,0.1,ax
-5,1.15,0.1000000038,0.1,ax
-5,1.2,0.1000000184,0.1,ax
-5,1.25,0.1000000611,0.1,ax
-5,1.3,0.1000001628,0.1,ax
-5,1.35,0.1000003742,0.1,ax
-5,1.4,0.1000007739,0.1,ax
-5,1.45,0.1000014778,0.1,ax
-5,1.5,0.1000026504,0.1,ax
-5,1.55,0.100004518,0.1,ax
-5,1.6,0.1000073836,0.1,ax
-5,1.65,0.1000116444,0.1,ax
-5,1.7,0.1000178098,0.1,ax
-5,1.75,0.1000265222,0.1,ax
-5,1.8,0.100038579,0.1,ax
-5,1.85,0.1000549554,0.1,ax
-5,1.9,0.1000768287,0.1,ax
-5,1.95,0.1001056031,0.1,ax
-5,2,0.1001429347,0.1,ax
-5,2.05,0.1001907575,0.1,ax
-5,2.1,0.100251308,0.1,ax
-5,2.15,0.1003271501,0.1,ax
-5,2.2,0.1004211994,0.1,ax
-5,2.25,0.1005367454,0.1,ax
-5,2.3,0.1006774738,0.1,ax
-5,2.35,0.1008474857,0.1,ax
-5,2.4,0.1010513158,0.1,ax
-5,2.45,0.1012939477,0.1,ax
-5,2.5,0.1015808261,0.1,ax
-5,2.55,0.1019178657,0.1,ax
-5,2.6,0.1023114555,0.1,ax
-5,2.65,0.1027684579,0.1,ax
-5,2.7,0.1032962007,0.1,ax
-5,2.75,0.1039024617,0.1,ax
-5,2.8,0.1045954421,0.1,ax
-5,2.85,0.1053837277,0.1,ax
-5,2.9,0.1062762353,0.1,ax
-5,2.95,0.1072821385,0.1,ax
-5,3,0.1084107707,0.1,ax
-5,3.05,0.1096714991,0.1,ax
-5,3.1,0.1110735622,0.1,ax
-5,3.15,0.1126258646,0.1,ax
-5,3.2,0.1143367167,0.1,ax
-5,3.25,0.1162135106,0.1,ax
-5,3.3,0.1182623155,0.1,ax
-5,3.35,0.1204873771,0.1,ax
-5,3.4,0.1228905031,0.1,ax
-5,3.45,0.1254703117,0.1,ax
-5,3.5,0.128221325,0.1,ax
-5,3.55,0.1311328838,0.1,ax
-5,3.6,0.1341878729,0.1,ax
-5,3.65,0.137361254,0.1,ax
-5,3.7,0.1406184264,0.1,ax
-5,3.75,0.1439134735,0.1,ax
-5,3.8,0.147187408,0.1,ax
-5,3.85,0.1503666074,0.1,ax
-5,3.9,0.1533617337,0.1,ax
