drive,azz,delta_theta,theta_value,slice_type
-5,-5,0.9729278043,5,ay
-5,-4.95,0.2562773678,5,ay
-5,-4.9,0.2018681355,5,ay
-5,-4.85,0.1878729135,5,ay
-5,-4.8,0.1854994477,5,ay
-5,-4.75,0.1886654033,5,ay
-5,-4.7,0.1955497,5,ay
-5,-4.65,0.2056608715,5,ay
-5,-4.6,0.2191221871,5,ay
-5,-4.55,0.2364951611,5,ay
-5,-4.5,0.2588121068,5,ay
-5,-4.45,0.2877693216,5,ay
-5,-4.4,0.326156678,5,ay
-5,-4.35,0.3787710732,5,ay
-5,-4.3,0.4545075504,5,ay
-5,-4.25,0.5718215018,5,ay
-5,-4.2,0.7761742111,5,ay
-5,-4.15,1.217738246,5,ay
-5,-4.1,2.861455238,5,ay
-5,-4.05,8.021357427,5,ay
-5,-4,1.668980528,5,ay
-5,-3.95,0.932792138,5,ay
-5,-3.9,0.6487533168,5,ay
-5,-3.85,0.4986357409,5,ay
-5,-3.8,0.4060879596,5,ay
-5,-3.75,0.343525534,5,ay
-5,-3.7,0.2985571637,5,ay
-5,-3.65,0.2647907302,5,ay
-5,-3.6,0.2385948528,5,ay
-5,-3.55,0.2177537981,5,ay
-5,-3.5,0.2008389747,5,ay
-5,-3.45,0.1868879591,5,ay
-5,-3.4,0.1752287349,5,ay
-5,-3.35,0.1653778719,5,ay
-5,-3.3,0.1569787359,5,ay
-5,-3.25,0.1497624948,5,ay
-5,-3.2,0.1435226768,5,ay
-5,-3.15,0.1380980866,5,ay
-5,-3.1,0.13336104,5,ay
-5,-3.05,0.1292090807,5,ay
-5,-3,0.1255590332,5,ay
-5,-2.95,0.122342655,5,ay
-5,-2.9,0.1195034083,5,ay
-5,-2.85,0.1169940286,5,ay
-5,-2.8,0.1147746686,5,ay
-5,-2.75,0.1128114638,5,ay
-5,-2.7,0.111075414,5,ay
-5,-2.65,0.1095414996,5,ay
-5,-2.6,0.1081879797,5,ay
-5,-2.55,0.1069958291,5,ay
-5,-2.5,0.1059482834,5,ay
-5,-2.45,0.1050304706,5,ay
-5,-2.4,0.1042291098,5,ay
-5,-2.35,0.1035322667,5,ay
-5,-2.3,0.1029291519,5,ay
-5,-2.25,0.1024099584,5,ay
-5,-2.2,0.1019657281,5,ay
-5,-2.15,0.1015882456,5,ay
-5,-2.1,0.1012699532,5,ay
-5,-2.05,0.1010038842,5,ay
-5,-2,0.100783613,5,ay
-5,-1.95,0.1006032166,5,ay
-5,-1.9,0.1004572483,5,ay
-5,-1.85,0.1003407185,5,ay
-5,-1.8,0.1002490823,5,ay
-5,-1.75,0.1001782307,5,ay
-5,-1.7,0.1001244834,5,ay
-5,-1.65,0.1000845814,5,ay
-5,-1.6,0.1000556781,5,ay
-5,-1.55,0.1000353259,5,ay
-5,-1.5,0.1000214591,5,ay
-5,-1.45,0.1000123713,5,ay
-5,-1.4,0.1000066875,5,ay
-5,-1.35,0.1000033319,5,ay
-5,-1.3,0.100001491,5,ay
-5,-1.25,0.1000005745,5,ay
-5,-1.2,0.100000177,5,ay
-5,-1.15,0.1000000372,5,ay
-5,-1.1,0.1000000035,5,ay
-5,-1.05,0.1,5,ay
-5,-1,0.1000000001,5,ay
-5,-0.95,0.1000000044,5,ay
-5,-0.9,0.1000000244,5,ay
-5,-0.85,0.1000000717,5,ay
-5,-0.8,0.1000001524,5,ay
-5,-0.75,0.1000002641,5,ay
-5,-0.7,0.1000003971,5,ay
-5,-0.65,0.1000005361,5,ay
-5,-0.6,0.1000006635,5,ay
-5,-0.55,0.1000007631,5,ay
-5,-0.5,0.100000822,5,ay
-5,-0.45,0.1000008325,5,ay
-5,-0.4,0.1000007937,5,ay
-5,-0.35,0.100000711,5,ay
-5,-0.3,0.1000005943,5,ay
-5,-0.25,0.1000004577,5,ay
-5,-0.2,0.1000003176,5,ay
-5,-0.15,0.1000001895,5,ay
-5,-0.1,0.1000000876,5,ay
-5,-0.05,0.1000000223,5,ay
-5,0,0.09999999994,5,ay
-5,0.05,0.1000000218,5,ay
-5,0.1,0.1000000841,5,ay
-5,0.15,0.100000179,5,ay
-5,0.2,0.1000002948,5,ay
-5,0.25,0.1000004179,5,ay
-5,0.3,0.1000005344,5,ay
-5,0.35,0.1000006307,5,ay
-5,0.4,0.100000696,5,ay
-5,0.45,0.100000723,5,ay
-5,0.5,0.1000007087,5,ay
-5,0.55,0.1000006551,5,ay
-5,0.6,0.1000005688,5,ay
-5,0.65,0.1000004604,5,ay
-5,0.7,0.1000003429,5,ay
-5,0.75,0.1000002303,5,ay
-5,0.8,0.1000001346,5,ay
-5,0.85,0.1000000644,5,ay
-5,0.9,0.1000000223,5,ay
-5,0.95,0.1000000042,5,ay
-5,1,0.09999999995,5,ay
-5,1.05,0.09999999991,5,ay
-5,1.1,0.1000000036,5,ay
-5,1.15,0.1000000416,5,ay
-5,1.2,0.1000002083,5,ay
-5,1.25,0.1000007197,5,ay
-5,1.3,0.100002,5,ay
-5,1.35,0.1000048197,5,ay
-5,1.4,0.1000105038,5,ay
-5,1.45,0.1000212509,5,ay
-5,1.5,0.1000406162,5,ay
-5,1.55,0.1000742418,5,ay
-5,1.6,0.1001309698,5,ay
-5,1.65,0.1002245319,5,ay
-5,1.7,0.1003761408,5,ay
-5,1.75,0.1006184683,5,ay
-5,1.8,0.1010017932,5,ay
-5,1.85,0.1016035198,5,ay
-5,1.9,0.1025429335,5,ay
-5,1.95,0.1040039941,5,ay
-5,2,0.1062701865,5,ay
-5,2.05,0.1097768715,5,ay
-5,2.1,0.1151879191,5,ay
-5,2.15,0.1235050783,5,ay
-5,2.2,0.1362240073,5,ay
-5,2.25,0.1555724648,5,ay
-5,2.3,0.1849308527,5,ay
-5,2.35,0.2296950247,5,ay
-5,2.4,0.2992354081,5,ay
-5,2.45,0.4117890473,5,ay
-5,2.5,0.6086622416,5,ay
-5,2.55,1.00752577,5,ay
-5,2.6,2.126578249,5,ay
-5,2.65,15.98912644,5,ay
-5,2.7,4.067460585,5,ay
-5,2.75,2.129972062,5,ay
-5,2.8,1.610007836,5,ay
-5,2.85,1.405587346,5,ay
-5,2.9,1.334591187,5,ay
-5,2.95,1.34804192,5,ay
-5,3,1.439233348,5,ay
-5,3.05,1.631373876,5,ay
-5,3.1,1.999486835,5,ay
-5,3.15,2.782602478,5,ay
-5,3.2,5.173511161,5,ay
-5,3.25,248.7715559,5,ay
-5,3.3,4.839549637,5,ay
-5,3.35,2.287805622,5,ay
-5,3.4,1.457692469,5,ay
-5,3.45,1.050267615,5,ay
-5,3.5,0.810166054,5,ay
-5,3.55,0.652980168,5,ay
-5,3.6,0.5427639912,5,ay
-5,3.65,0.4616487198,5,ay
-5,3.7,0.3997649223,5,ay
-5,3.75,0.3512266509,5,ay
-5,3.8,0.3123120038,5,ay
-5,3.85,0.2805561663,5,ay
-5,3.9,0.254264533,5,ay
-5,3.95,0.2322353419,5,ay
-5,4,0.213593784,5,ay
-5,4.05,0.1976886642,5,ay
-5,4.1,0.1840257667,5,ay
-5,4.15,0.1722235909,5,ay
-5,4.2,0.1619831805,5,ay
-5,4.25,0.1530670878,5,ay
-5,4.3,0.1452844135,5,ay
-5,4.35,0.1384799748,5,ay
-5,4.4,0.1325263412,5,ay
-5,4.45,0.1273178932,5,ay
-5,4.5,0.1227663336,5,ay
-5,4.55,0.1187972558,5,ay
