a_x,a_y,a_z,a_zz,delta_theta
2.739560486,-0.6112156025,3.585979199,1.973680291,0.5369400912
-4.058226521,4.756223516,2.61139702,2.860643053,0.1398617794
-3.718863673,-0.496140621,-1.292019758,4.267649888,0.1022654212
1.438651201,3.227616133,-0.5658580117,-2.727612782,0.5294204807
0.5458478702,-4.361827439,3.27631172,1.316643991,0.1376350002
2.580877401,-1.454740319,4.706980244,3.931211213,0.1313598847
2.783834971,-3.053612921,-0.3327899627,-4.561962342,0.3969362059
-3.457105079,1.830489532,2.447621559,4.675097324,0.1922692948
-1.741746419,-1.29540294,-0.3044418872,-3.105286409,2.582995078
-3.700784947,-0.2429507377,-2.730906509,1.698139947,0.2488019122
-0.6284808113,3.326781961,2.00265102,-1.876333586,0.5637017565
3.322598014,3.047643575,-1.12521621,-2.116718961,0.1264273689
1.82495504,-3.602475164,-3.000917975,-4.926377302,0.2737865924
2.869243775,1.648508566,2.051653786,2.80729031,0.2003626368
-0.4108422446,0.6874119595,-3.602030019,-3.854699265,0.1000205331
1.684029618,-0.2890379386,0.6523610648,2.649988574,0.1238413783
1.3471832,0.5357940066,0.5920716075,-1.960499019,0.1686328781
-4.691821654,-0.6328261077,-2.854153272,-0.9147135628,0.1486897138
3.534030733,-2.660605141,-4.416972583,-2.18616108,0.2041359726
-2.064062422,1.619165147,0.5703215234,2.838982091,0.1741816906
1.643135403,-0.9361313856,3.140203847,-3.330270801,0.1418903044
-4.772879269,-4.099521392,2.223593506,-0.3812276975,0.1214762975
-3.38728221,0.01044775103,-3.476878973,1.963203751,0.1306610026
-0.5384372443,-1.189787739,-1.984879109,1.302825931,0.1087090484
-1.381873894,-4.123500807,-3.819940979,4.618976645,0.1943863629
4.085806907,1.997071338,-2.341300385,4.691763773,0.1432273262
2.78750904,2.168901892,-0.5063849786,-2.277584382,0.8224328294
-4.036090378,4.026023965,-0.4422371017,-2.976366352,0.2452846747
-1.940433758,0.7921956894,-3.232272171,3.566142841,0.1249500464
2.585195298,2.19462956,-0.6790696022,1.273088407,0.3759750326
0.8409796891,1.498466016,-4.155556789,-0.8419259783,0.1054323753
-4.583858261,-0.06009180755,-1.701387877,-3.554758111,0.1183579744
-3.965970323,0.8764457218,-3.294070315,4.251201184,0.1105805864
0.810611397,-1.531301955,0.9091549148,-4.77196129,0.5776645157
4.585592132,-0.1769656306,2.827352273,-4.172700001,0.2054334398
-0.1334166916,-0.09293005645,4.37826455,0.7172805238,0.1000245649
-0.2651059894,-2.330243369,-1.684310027,0.2067240247,0.120719499
-0.6108853969,-4.783879201,3.262919242,3.961607718,0.4762708066
-3.59750911,0.5403614354,-3.914242589,1.72240093,0.1025187991
-2.187662162,1.594226347,2.269946143,2.686474919,0.2477590967
-3.92259054,4.160118451,-2.697860091,-4.625874438,0.1011944653
0.5485246939,-1.290777161,3.297897431,3.082514721,1.59672965
-1.828611072,4.528993951,-2.090821619,0.1505712923,0.1045059906
-2.440349094,4.3604357,-3.353921824,-4.550893806,0.1138129922
-0.6490294,4.923755641,3.916772663,2.486080195,1.622545806
3.907924909,3.934466397,0.1885836039,-1.840709482,0.1054176752
2.720124321,1.616612632,-1.263422711,-4.055333319,0.1077026728
2.467896113,-2.375394841,4.368131505,-2.59029425,0.1110209303
-3.772420676,3.311126721,-3.467156834,-3.207316918,0.1310206972
0.9938279152,3.745620408,-3.035653343,-1.896763271,0.1098372027
2.774048382,4.718264261,0.007411862023,-3.561024974,0.1009777942
-4.860637123,-2.7034397,-3.681777822,1.776586736,0.2589896733
-3.781674954,0.06329931621,1.942624356,0.8111660922,0.2674038839
-3.002243483,3.041245262,2.154071296,2.389840039,0.1452187146
-3.689422484,-3.762461963,4.27562551,-1.024218062,0.1004005148
-1.990513082,-0.1141595465,1.628642128,4.55623257,0.2375207045
-2.135537731,4.248084293,-4.751405086,0.5519804233,0.1612059381
1.339751117,-3.941025962,-3.596604029,-0.8088568068,0.1132117133
4.662319121,0.9604255323,4.330232216,3.043609156,0.1269431317
-0.3261839844,2.847634493,-4.82163216,-3.908560032,0.1239539397
3.294286149,2.968170883,-2.67359258,0.307695906,0.1461223541
1.060158207,3.677389538,1.031071573,-0.8742843073,0.2014903168
-1.258159566,-0.7411791363,1.519310256,3.674906318,0.4590979565
-0.4610311792,-2.52160437,-2.63337637,2.460142802,0.1379098952
3.165687634,-3.947219201,-4.33441143,0.9443366376,0.1003580736
-3.538267558,3.246641905,-1.896653261,-3.56128067,0.1199268413
4.209704725,-3.344682773,-2.152799177,-3.463866048,0.118336238
-3.845099363,-4.788519837,-4.446045908,-3.253585291,0.102209435
-4.466180674,0.9114381611,1.807145268,-1.063695432,0.343423315
-1.82008903,0.04526237022,3.750049422,3.511316268,0.1074082104
-4.56524938,-3.185015904,-2.632551289,-2.506124242,0.2073591303
0.7123265174,-0.837375743,-4.507458801,-1.263858615,0.1003895199
0.2375294872,-3.983280971,3.334585538,-4.480381335,0.2019466416
4.24841869,-4.008868584,3.435749516,4.026531439,0.1275187994
4.795706806,3.020258803,2.794775408,1.42483276,0.1017380619
2.789963546,-3.654477916,0.3606803595,0.1422287019,0.1001938137
3.575721441,-0.3720063441,-1.149105039,1.395632712,0.1816376818
-2.335366825,-3.60231589,-0.2212272598,-0.8311063141,0.1027069259
-2.674300595,-1.324881899,-1.336075502,-1.725044356,0.1068812069
-1.205359203,1.857433455,-2.031235254,4.488579267,0.2441121126
4.163480195,-0.190895717,-1.71638795,0.3543478983,0.1305561822
3.485604888,1.525873406,3.043918279,0.3272227607,0.216750689
1.329176293,-2.118443858,2.348931623,-2.975954069,0.104819703
1.947981288,3.607190683,-3.678971627,1.143797405,0.121007935
-4.049042518,2.257156283,-4.155067812,4.359398227,0.3887089994
-3.6259207,4.588802459,3.008841761,0.9368200447,0.1555590554
2.826241046,2.95114839,4.460270628,-2.466166462,0.1111259201
0.9007589536,-4.049508024,1.161657,-3.287086959,0.2142940947
0.6495061147,0.7243051403,-0.3401484702,0.2263177551,0.1101477628
2.6392339,2.992447165,-0.07846784425,0.9959344152,0.1034829719
4.312362357,-3.802664115,-3.828964341,-4.122909881,2.103479646
1.57863285,-0.8139169921,2.743214161,1.712314133,0.1226434743
-1.663622417,3.983665474,2.625321471,-2.294650591,0.1140551855
-1.358079822,-1.855600198,-3.423883514,-3.522166275,0.5678673341
4.361274634,-0.620959628,-1.166801772,2.296857087,0.1034551195
0.5299306525,4.361399868,2.803014939,-0.2063043588,0.1111321774
-1.236405265,4.866315449,2.17760236,4.5119466,0.1415160969
-3.815214228,3.505336792,1.37073884,-3.780783217,1.420904586
0.8825799997,1.860963651,-4.876973141,-0.4568203816,0.160596929
3.253995112,-2.046409747,-0.414519182,-0.5768587293,0.1048577034
-1.980726086,4.184418955,2.812940354,-3.89411589,0.1266535781
4.970346578,3.792000243,-2.160915621,3.368965797,0.1405724237
-3.935804681,4.991047305,1.656847361,1.501250156,0.2718310247
-4.09559273,3.970333989,-4.710004968,-2.59171942,0.5893366871
-3.569781248,2.767679407,-3.017957728,4.106382271,1.489682764
1.562690393,-4.638372895,-4.945701659,-4.48342083,0.100339563
1.059251776,3.014818109,-2.614471794,3.494088429,0.467099185
-4.427680598,3.009638536,4.277954302,2.721083991,0.1505743363
1.98120784,3.379802187,-4.598487005,-2.982178893,1.215983905
-3.750763207,0.04530990193,2.451881283,1.300118446,0.1113020594
3.511310998,-3.447870076,2.346210919,-3.069585091,0.1009372726
-2.292412487,2.099046973,4.802047849,1.11543606,0.3081321159
-4.45499685,1.163089699,-4.576494484,3.841457114,0.1467630536
2.095782851,-3.268721536,-4.082789942,-3.164667711,0.8133794034
4.800271796,-0.4143935754,2.840809483,1.364083421,0.1066219875
0.7241314996,-3.548697453,4.460244536,-1.986573675,0.1657167892
0.7801721581,1.997759446,1.492331552,4.405944097,0.2126054246
-3.515610101,0.08352738447,-0.9596560926,-0.2583127052,0.1062642654
-3.807824738,-3.659053901,-2.219244542,-1.952953962,0.1247916724
-0.7209678632,1.10987547,1.346291174,-0.8818910341,0.1062969851
-0.9121689057,-2.823714733,0.8830624841,-1.829590887,0.1504201904
-4.639401657,-0.8159995584,-0.2586732491,-2.744071318,0.143798708
0.7245793312,0.6577190043,2.020021811,1.479484822,0.1086994832
1.524330565,-1.837858482,2.87432222,0.491443836,0.1589239016
-0.6858180482,1.260124809,-1.393426655,0.1273924461,0.106906834
2.367056885,3.864028867,4.210571973,0.03632925183,0.1004854342
0.2027511474,2.998704108,-1.855493083,3.373823623,0.287739327
-0.05858353483,-3.841432757,-4.279408529,3.41993211,0.1080848377
-4.444320831,-2.193885639,-1.658699595,-3.270055548,1.807733303
-1.861066302,2.426925667,-4.853171564,3.271734245,0.2226030628
3.565480236,-1.277384268,-3.463871009,1.008404079,0.1038627417
-3.803274441,-1.350806389,4.584291809,4.954644726,0.1388518547
2.721048914,-1.890384901,1.876650492,2.054063655,0.3686373604
-1.121583048,1.408886346,-4.89272355,-2.909423414,0.1060687173
0.2508830297,-3.362486957,-3.340931321,3.363042906,0.1266715316
4.891330027,0.5596942803,3.390697309,4.903216643,0.1130592164
-3.584041114,-0.5175438675,-1.074272842,-4.199507164,0.2222201584
2.553301728,-0.6622097268,-0.3067306581,-3.493270262,0.3737027957
-3.190733478,4.071036222,-4.55350911,-2.671477151,0.131963822
-2.079406697,-0.09802457598,0.8644517301,-0.06710024149,0.1008242595
-4.158846654,-2.563325459,3.435883848,1.375887005,0.1441340904
1.491490501,1.702032554,2.62903019,-4.418915183,0.2268166862
-1.333916151,0.3952743526,-1.615435167,3.444788733,0.1797549048
-0.1742749141,2.686275895,3.520155169,0.04791482903,0.1008019227
4.095522439,0.8712394054,3.502742988,-1.594092044,0.4416751949
-0.01183041469,0.31411041,-3.950202841,-1.014474933,0.1804865146
4.173376726,1.308322404,-3.224934176,-1.611443644,0.4683642689
-3.083969903,-4.751768682,4.274604585,-0.5179267174,0.428041229
-1.924649276,0.9847719156,-4.926855437,-2.219778934,0.1030546981
2.030334657,1.337697731,4.818059475,1.203577097,0.1091043064
-0.2249412637,2.614325632,4.03327872,2.206959467,0.1037151039
4.632112235,2.820051707,3.668014383,-3.858959288,0.1387818094
2.32413503,-0.5991130047,0.5310380241,1.541024095,1.996229857
4.698151167,4.845780814,-2.117717545,2.337534974,0.1060411014
2.499835379,-1.535071387,-3.761302251,-4.590530397,0.530352976
2.773431275,-0.1030025818,4.855401695,-0.3502654381,0.1988274513
4.779169791,-0.8842399781,2.936821506,-4.151807277,0.1286328913
0.5546171014,3.02059787,4.247016672,3.225830906,0.1117627046
-4.630292728,-1.272976587,-4.513015277,-3.907177089,0.1187030695
1.753056287,2.132581963,2.737206828,3.654565481,0.1311600651
2.394314685,3.008715921,-4.510362902,-2.654648496,0.1061800338
1.218977734,3.581253046,-4.954998751,0.1462934212,0.1115974913
1.772873994,-4.703927109,-0.9864444245,3.956348814,0.1164262081
1.716128089,-2.623416366,3.527811296,-1.519685766,0.1203144407
3.533446711,-2.010563489,0.9032025088,-1.030599323,0.2277766462
-2.251749492,3.865575622,-3.124063181,-4.151884088,0.3473941585
-1.580730615,2.176391476,3.07431606,4.987433701,0.6645876929
-2.03637943,-0.9205804887,-3.63178722,0.7487192962,0.1002084479
4.975800373,2.008810101,0.9521284041,-1.076309071,0.1727681968
4.152987603,-0.0308340387,-3.656330867,-1.346215368,0.1791376011
