drive,azz,delta_theta,theta_value,slice_type
-5,-5,0.4631463905,3.1,ax
-5,-4.95,0.4420541804,3.1,ax
-5,-4.9,0.4205966058,3.1,ax
-5,-4.85,0.3991917134,3.1,ax
-5,-4.8,0.378177617,3.1,ax
-5,-4.75,0.3578146131,3.1,ax
-5,-4.7,0.3382920504,3.1,ax
-5,-4.65,0.3197378648,3.1,ax
-5,-4.6,0.3022290607,3.1,ax
-5,-4.55,0.2858019581,3.1,ax
-5,-4.5,0.2704615576,3.1,ax
-5,-4.45,0.2561895868,3.1,ax
-5,-4.4,0.2429512281,3.1,ax
-5,-4.35,0.2307004718,3.1,ax
-5,-4.3,0.2193843619,3.1,ax
-5,-4.25,0.2089461733,3.1,ax
-5,-4.2,0.199327811,3.1,ax
-5,-4.15,0.1904715111,3.1,ax
-5,-4.1,0.1823210457,3.1,ax
-5,-4.05,0.1748225177,3.1,ax
-5,-4,0.1679248635,3.1,ax
-5,-3.95,0.1615801276,3.1,ax
-5,-3.9,0.1557435843,3.1,ax
-5,-3.85,0.15037374,3.1,ax
-5,-3.8,0.145432259,3.1,ax
-5,-3.75,0.1408838377,3.1,ax
-5,-3.7,0.1366960522,3.1,ax
-5,-3.65,0.1328391758,3.1,ax
-5,-3.6,0.1292860016,3.1,ax
-5,-3.55,0.1260116524,3.1,ax
-5,-3.5,0.1229934076,3.1,ax
-5,-3.45,0.1202105221,3.1,ax
-5,-3.4,0.1176440682,3.1,ax
-5,-3.35,0.1152767784,3.1,ax
-5,-3.3,0.1130929004,3.1,ax
-5,-3.25,0.1110780667,3.1,ax
-5,-3.2,0.1092191708,3.1,ax
-5,-3.15,0.1075042542,3.1,ax
-5,-3.1,0.105922403,3.1,ax
-5,-3.05,0.1044636542,3.1,ax
-5,-3,0.1031189092,3.1,ax
-5,-2.95,0.1018798558,3.1,ax
-5,-2.9,0.1007388951,3.1,ax
-5,-2.85,0.09968907979,3.1,ax
-5,-2.8,0.09872405169,3.1,ax
-5,-2.75,0.09783799092,3.1,ax
-5,-2.7,0.09702556595,3.1,ax
-5,-2.65,0.09628189098,3.1,ax
-5,-2.6,0.09560248247,3.1,ax
-5,-2.55,0.09498322747,3.1,ax
-5,-2.5,0.0944203471,3.1,ax
-5,-2.45,0.09391036849,3.1,ax
-5,-2.4,0.09345009734,3.1,ax
-5,-2.35,0.09303659327,3.1,ax
-5,-2.3,0.09266714599,3.1,ax
-5,-2.25,0.09233925683,3.1,ax
-5,-2.2,0.09205062101,3.1,ax
-5,-2.15,0.091799108,3.1,ax
-5,-2.1,0.09158274769,3.1,ax
-5,-2.05,0.09139971705,3.1,ax
-5,-2,0.0912483257,3.1,ax
-5,-1.95,0.09112700623,3.1,ax
-5,-1.9,0.09103430247,3.1,ax
-5,-1.85,0.09096885889,3.1,ax
-5,-1.8,0.09092941335,3.1,ax
-5,-1.75,0.09091478787,3.1,ax
-5,-1.7,0.09092388136,3.1,ax
-5,-1.65,0.09095566281,3.1,ax
-5,-1.6,0.09100916335,3.1,ax
-5,-1.55,0.09108347263,3.1,ax
-5,-1.5,0.09117773166,3.1,ax
-5,-1.45,0.09129112792,3.1,ax
-5,-1.4,0.09142289004,3.1,ax
-5,-1.35,0.09157228488,3.1,ax
-5,-1.3,0.09173861122,3.1,ax
-5,-1.25,0.09192119638,3.1,ax
-5,-1.2,0.09211939341,3.1,ax
-5,-1.15,0.09233257599,3.1,ax
-5,-1.1,0.09256013575,3.1,ax
-5,-1.05,0.09280147855,3.1,ax
-5,-1,0.0930560212,3.1,ax
-5,-0.95,0.09332318901,3.1,ax
-5,-0.9,0.09360241247,3.1,ax
-5,-0.85,0.0938931239,3.1,ax
-5,-0.8,0.09419475472,3.1,ax
-5,-0.75,0.09450673292,3.1,ax
-5,-0.7,0.09482848122,3.1,ax
-5,-0.65,0.09515941339,3.1,ax
-5,-0.6,0.09549893171,3.1,ax
-5,-0.55,0.09584642448,3.1,ax
-5,-0.5,0.09620126509,3.1,ax
-5,-0.45,0.09656280715,3.1,ax
-5,-0.4,0.09693038515,3.1,ax
-5,-0.35,0.09730331052,3.1,ax
-5,-0.3,0.09768086913,3.1,ax
-5,-0.25,0.09806232124,3.1,ax
-5,-0.2,0.09844689775,3.1,ax
-5,-0.15,0.09883380095,3.1,ax
-5,-0.1,0.09922220009,3.1,ax
-5,-0.05,0.09961123212,3.1,ax
-5,0,0.09999999994,3.1,ax
-5,0.05,0.1003875723,3.1,ax
-5,0.1,0.100772981,3.1,ax
-5,0.15,0.1011552234,3.1,ax
-5,0.2,0.1015332602,3.1,ax
-5,0.25,0.1019060168,3.1,ax
-5,0.3,0.1022723822,3.1,ax
-5,0.35,0.1026312135,3.1,ax
-5,0.4,0.1029813331,3.1,ax
-5,0.45,0.1033215328,3.1,ax
-5,0.5,0.1036505767,3.1,ax
-5,0.55,0.1039672006,3.1,ax
-5,0.6,0.1042701188,3.1,ax
-5,0.65,0.1045580262,3.1,ax
-5,0.7,0.1048296014,3.1,ax
-5,0.75,0.1050835136,3.1,ax
-5,0.8,0.105318425,3.1,ax
-5,0.85,0.1055329977,3.1,ax
-5,0.9,0.1057259007,3.1,ax
-5,0.95,0.1058958147,3.1,ax
-5,1,0.106041439,3.1,ax
-5,1.05,0.1061614996,3.1,ax
-5,1.1,0.1062547561,3.1,ax
-5,1.15,0.106320009,3.1,ax
-5,1.2,0.1063561078,3.1,ax
-5,1.25,0.1063619598,3.1,ax
-5,1.3,0.1063365361,3.1,ax
-5,1.35,0.1062788816,3.1,ax
-5,1.4,0.1061881199,3.1,ax
-5,1.45,0.1060634646,3.1,ax
-5,1.5,0.1059042226,3.1,ax
-5,1.55,0.1057098019,3.1,ax
-5,1.6,0.1054797196,3.1,ax
-5,1.65,0.1052136034,3.1,ax
-5,1.7,0.1049111995,3.1,ax
-5,1.75,0.1045723752,3.1,ax
-5,1.8,0.1041971219,3.1,ax
-5,1.85,0.103785557,3.1,ax
-5,1.9,0.1033379254,3.1,ax
-5,1.95,0.1028545986,3.1,ax
-5,2,0.1023360764,3.1,ax
-5,2.05,0.1017829807,3.1,ax
-5,2.1,0.1011960567,3.1,ax
-5,2.15,0.1005761668,3.1,ax
-5,2.2,0.09992428564,3.1,ax
-5,2.25,0.09924149632,3.1,ax
-5,2.3,0.09852898198,3.1,ax
-5,2.35,0.09778801917,3.1,ax
-5,2.4,0.09701997107,3.1,ax
-5,2.45,0.09622627862,3.1,ax
-5,2.5,0.09540845141,3.1,ax
-5,2.55,0.09456805945,3.1,ax
