drive,azz,delta_theta,theta_value,slice_type
-5,-5,0.3085952847,1.3,ay
-5,-4.95,0.2255423558,1.3,ay
-5,-4.9,0.1915752543,1.3,ay
-5,-4.85,0.1753821501,1.3,ay
-5,-4.8,0.1678916382,1.3,ay
-5,-4.75,0.1656166038,1.3,ay
-5,-4.7,0.1670403397,1.3,ay
-5,-4.65,0.1715216214,1.3,ay
-5,-4.6,0.1789032519,1.3,ay
-5,-4.55,0.1893757529,1.3,ay
-5,-4.5,0.2034660658,1.3,ay
-5,-4.45,0.2221239133,1.3,ay
-5,-4.4,0.2469368339,1.3,ay
-5,-4.35,0.280583269,1.3,ay
-5,-4.3,0.3278163999,1.3,ay
-5,-4.25,0.3978207133,1.3,ay
-5,-4.2,0.5108004571,1.3,ay
-5,-4.15,0.7213933059,1.3,ay
-5,-4.1,1.246078089,1.3,ay
-5,-4.05,4.768368815,1.3,ay
-5,-4,2.568317456,1.3,ay
-5,-3.95,1.007998051,1.3,ay
-5,-3.9,0.6265906099,1.3,ay
-5,-3.85,0.4548175092,1.3,ay
-5,-3.8,0.3573766957,1.3,ay
-5,-3.75,0.2947755715,1.3,ay
-5,-3.7,0.2512822248,1.3,ay
-5,-3.65,0.2193931559,1.3,ay
-5,-3.6,0.1950761853,1.3,ay
-5,-3.55,0.1759714905,1.3,ay
-5,-3.5,0.1606062779,1.3,ay
-5,-3.45,0.1480139699,1.3,ay
-5,-3.4,0.1375340483,1.3,ay
-5,-3.35,0.1286998967,1.3,ay
-5,-3.3,0.1211725903,1.3,ay
-5,-3.25,0.1147000794,1.3,ay
-5,-3.2,0.1090910865,1.3,ay
-5,-3.15,0.1041978841,1.3,ay
-5,-3.1,0.09990461534,1.3,ay
-5,-3.05,0.09611918558,1.3,ay
-5,-3,0.09276751083,1.3,ay
-5,-2.95,0.08978936539,1.3,ay
-5,-2.9,0.0871353283,1.3,ay
-5,-2.85,0.08476450914,1.3,ay
-5,-2.8,0.08264282705,1.3,ay
-5,-2.75,0.08074169566,1.3,ay
-5,-2.7,0.07903700418,1.3,ay
