theta,best_delta_theta,sql,ratio,a_x,a_y,a_z,a_zz,expectation_Jz,variance_Jz
0.1,0.02091763758,0.1,0.2091763758,-3.69081743,4.106362923,5,1.421752512,0.1358705539,0.2315391926
0.2,0.02035954077,0.1,0.2035954077,5,5,4.00072249,3.999913311,0.1517247285,0.2269796068
0.3,0.02117644133,0.1,0.2117644133,-3.543368779,4.98727844,-4.797339927,3.713076077,-0.4954209018,0.004558130023
0.4,0.02129567075,0.1,0.2129567075,3.635841556,-4.915766586,-4.696973056,4.987015028,0.3487229075,0.1283923338
0.5,0.02517004976,0.1,0.2517004976,4.815159476,0.6430965389,3.89149453,5,-0.2079965288,0.206737444
0.6,0.02615056839,0.1,0.2615056839,4.916266517,3.143145987,-1.851016636,4.999999997,-0.4805046285,0.01911530198
0.7,0.02713365697,0.1,0.2713365697,4.2491234,4.591980348,-2.826373763,5,0.3934383667,0.09520625157
0.8,0.0284547755,0.1,0.284547755,4.866424669,-4.061670659,-1.314868864e-06,5,0.07027456001,0.2450614862
0.9,0.03088938989,0.1,0.3088938989,4.863148002,3.960571412,-2.791652074,5,-0.4599943857,0.03840516508
1,0.03139020976,0.1,0.3139020976,-4.512847202,-4.987003411,0.8952471385,4.999999999,-0.4216785143,0.07218723055
1.1,0.03311185886,0.1,0.3311185886,-4.990528849,4.491788382,0.8932281686,4.999999999,-0.0004294131806,0.2499998156
1.2,0.03464714185,0.1,0.3464714185,4.703750868,4.769576016,-0.8997162677,4.999999999,0.422130954,0.07180545766
1.3,0.03645618647,0.1,0.3645618647,3.616770237,4.763289211,-2.677236605e-06,5,-0.4544023863,0.04351847131
1.4,0.03828250575,0.1,0.3828250575,4.934231791,-2.940392018,0.7524929815,4.999999999,0.0721114413,0.24479994
1.5,0.03934856287,0.1,0.3934856287,-4.936296777,-3.789727847,-0.8277162669,4.999999998,-0.3805455432,0.1051850896
1.6,0.04077268656,0.1,0.4077268656,2.907616332,4.878026596,7.012204409e-07,4.999999999,0.4791936212,0.02037347338
1.7,0.04181754003,0.1,0.4181754003,4.957073862,-4.943633553,0.8910775785,4.999999999,-0.1411768328,0.2300691019
1.8,0.04329961898,0.1,0.4329961898,-3.838768522,-4.938091813,0.8236355583,4.999999999,0.3313840694,0.1401845985
1.9,0.04497898591,0.1,0.4497898591,1.361006754,4.584440302,-1.790730332e-07,4.999999992,-0.4945383831,0.005431787612
2,0.04580387877,0.1,0.4580387877,-3.996001217,-4.409481137,0.7572320528,4.999999998,0.2073912344,0.2069888759
2.1,0.04689675547,0.1,0.4689675547,3.100976066,4.238746717,0.0001520488446,5,0.2730902724,0.1754217031
2.2,0.04874493531,0.1,0.4874493531,-2.214736243,3.620565768,-0.5561343978,4.999999893,-0.4999874066,1.259327742e-05
2.3,0.0488481949,0.1,0.488481949,4.743037124,-4.911284355,0.8615870554,5,-0.2690791909,0.177596389
2.4,0.04989279096,0.1,0.4989279096,-4.345775756,3.201792526,-2.473380678e-06,4.999999999,-0.2114616281,0.2052839799
2.5,0.0508307422,0.1,0.508307422,3.098022501,-4.468915166,1.075756272e-06,4.999999993,-0.4955160203,0.004463873663
