theta,alpha_xx_opt,alpha_xz_opt,alpha_zx_opt,alpha_zz_opt,best_delta_theta,sql,ratio,expectation_Jz,variance_Jz,d_exp_d_theta,n_converged
0.1,-0.2006143088,-0.07957780565,-12.27444815,-4.835438757,0.09957961883,0.1,0.9957961883,0.2688348742,0.1777278104,-4.233574783,25
0.2,0.137393202,-0.2638250813,-5.965094023,11.06041079,0.09919693834,0.1,0.9919693834,0.2209481002,0.201181937,4.521642524,26
0.3,0.2301747817,-0.2540655569,-2.06731183,2.25985921,0.09286314581,0.1,0.9286314581,-0.4691326717,0.02991453637,-1.862506283,22
0.4,0.2785749186,-0.0724556545,17.51812326,-4.950367213,0.09995040249,0.1,0.9995040249,-0.3132634173,0.1518660314,3.898933022,23
0.5,0.05102116093,-0.03094706083,-2.263796474,2.021073168,0.0806893351,0.1,0.806893351,0.1322821426,0.2325014347,5.975808639,25
0.6,-0.001310730898,0.8331632332,0.03650836492,-18.66367378,0.1001139193,0.1,1.001139193,-0.4271142722,0.06757339844,2.596530431,18
0.7,-0.3221021569,0.08241034205,-2.142273221,0.4440860452,0.08385347701,0.1,0.8385347701,-0.12862566,0.2334554396,5.762101754,22
0.8,0.03738512504,-0.07197403489,-2.399819708,1.461728064,0.07588684811,0.1,0.7588684811,-0.1884640195,0.2144813133,-6.102787036,19
0.9,1.441032414,1.461982848,5.805675877,6.177398544,0.08928193041,0.1,0.8928193041,0.4200100952,0.07359151995,3.03843755,38
1,0.1508771032,0.1133012774,2.328869565,1.338412285,0.07452124699,0.1,0.7452124699,-0.1616309613,0.2238754324,6.349259908,27
1.1,-0.08963164784,-0.07104566962,1.182774306,2.505806635,0.06969930071,0.1,0.6969930071,-0.2105947738,0.2056498412,6.50632523,36
1.2,-2.345544288,0.7211990525,-17.5434405,11.79091138,0.09819030451,0.1,0.9819030451,-0.4996146171,0.0003852343319,0.1998912967,27
1.3,-1.495473438,-2.911990323,-1.79359579,2.486744535,0.09260272621,0.1,0.9260272621,0.3998404602,0.09012760636,3.241941293,27
1.4,-1.829084846,1.587132879,0.4017089632,2.33656036,0.0780154304,0.1,0.780154304,0.4977905768,0.002204541632,-0.6018366668,24
1.5,0.03314376839,-0.01883160351,0.8414423578,2.158937359,0.07815937908,0.1,0.7815937908,-0.4974201348,0.002573209474,-0.6490175943,27
