Generating cavity-enhanced TMSV data
  ⟨N⟩ range: 2.0..40.0
  ℱ range: 1..1000
  ω points per ℱ: 200
  Sweeping ℱ=1 (1/10)
    N=2 (1/20) [1.3s] dt_min=0.03617861
    N=4 (2/20) [4.2s] dt_min=0.02094923
    N=6 (3/20) [13.2s] dt_min=0.0147362
    N=8 (4/20) [18.6s] dt_min=0.01136875
    N=10 (5/20) [31.5s] dt_min=0.009259529
    N=12 (6/20) [51.6s] dt_min=0.007812797
    N=14 (7/20) [83.4s] dt_min=0.006763472
    N=16 (8/20) [126.5s] dt_min=0.005960486
    N=18 (9/20) [176.1s] dt_min=0.00532591
    N=20 (10/20) [249.8s] dt_min=0.004816633
    N=22 (11/20) [345.5s] dt_min=0.004395551
    N=24 (12/20) [448.7s] dt_min=0.004040759
    N=26 (13/20) [567.6s] dt_min=0.003740497
    N=28 (14/20) [686.2s] dt_min=0.003482598
    N=30 (15/20) [810.0s] dt_min=0.003256505
    N=32 (16/20) [950.1s] dt_min=0.003061803
    N=34 (17/20) [1015.3s] dt_min=0.002897978
    N=36 (18/20) [1080.7s] dt_min=0.002753614
    N=38 (19/20) [1146.0s] dt_min=0.002626441
    N=40 (20/20) [1211.7s] dt_min=0.002514049
  ℱ=1 total: 1211.9s (20.2m)
  Sweeping ℱ=2 (2/10)
    N=2 (1/20) [0.9s] dt_min=0.0180893
    N=4 (2/20) [3.3s] dt_min=0.01047462
    N=6 (3/20) [10.4s] dt_min=0.007368098
    N=8 (4/20) [14.1s] dt_min=0.005684376
    N=10 (5/20) [19.5s] dt_min=0.004629765
    N=12 (6/20) [27.5s] dt_min=0.003906399
    N=14 (7/20) [38.5s] dt_min=0.003381736
    N=16 (8/20) [53.8s] dt_min=0.002980243
    N=18 (9/20) [73.1s] dt_min=0.002662956
    N=20 (10/20) [97.7s] dt_min=0.002408317
    N=22 (11/20) [126.4s] dt_min=0.002197776
    N=24 (12/20) [162.3s] dt_min=0.00202038
    N=26 (13/20) [204.4s] dt_min=0.001870249
    N=28 (14/20) [254.2s] dt_min=0.001741299
    N=30 (15/20) [312.2s] dt_min=0.001628253
    N=32 (16/20) [379.0s] dt_min=0.001530902
    N=34 (17/20) [444.8s] dt_min=0.00144899
    N=36 (18/20) [510.1s] dt_min=0.001376808
    N=38 (19/20) [576.8s] dt_min=0.001313221
    N=40 (20/20) [642.2s] dt_min=0.001257025
  ℱ=2 total: 642.2s (10.7m)
  Sweeping ℱ=5 (3/10)
    N=2 (1/20) [2.3s] dt_min=0.007235722
    N=4 (2/20) [4.7s] dt_min=0.004189847
    N=6 (3/20) [11.7s] dt_min=0.00294724
    N=8 (4/20) [15.3s] dt_min=0.002273751
    N=10 (5/20) [20.9s] dt_min=0.001851906
    N=12 (6/20) [28.8s] dt_min=0.00156256
    N=14 (7/20) [40.1s] dt_min=0.001352695
    N=16 (8/20) [55.4s] dt_min=0.001192098
    N=18 (9/20) [73.7s] dt_min=0.001065183
    N=20 (10/20) [97.2s] dt_min=0.000963328
    N=22 (11/20) [126.7s] dt_min=0.0008791117
    N=24 (12/20) [162.7s] dt_min=0.0008081535
    N=26 (13/20) [203.8s] dt_min=0.0007481012
    N=28 (14/20) [253.2s] dt_min=0.0006965214
    N=30 (15/20) [309.9s] dt_min=0.000651303
    N=32 (16/20) [374.9s] dt_min=0.0006123628
    N=34 (17/20) [439.9s] dt_min=0.0005795978
    N=36 (18/20) [506.1s] dt_min=0.000550725
    N=38 (19/20) [570.9s] dt_min=0.0005252905
    N=40 (20/20) [635.8s] dt_min=0.0005028122
  ℱ=5 total: 635.9s (10.6m)
  Sweeping ℱ=10 (4/10)
    N=2 (1/20) [1.0s] dt_min=0.003617861
    N=4 (2/20) [3.3s] dt_min=0.002094924
    N=6 (3/20) [10.6s] dt_min=0.001473621
    N=8 (4/20) [14.1s] dt_min=0.001136876
    N=10 (5/20) [19.4s] dt_min=0.0009259543
    N=12 (6/20) [27.4s] dt_min=0.0007812815
    N=14 (7/20) [38.2s] dt_min=0.0006763493
    N=16 (8/20) [52.7s] dt_min=0.0005960509
    N=18 (9/20) [71.0s] dt_min=0.0005325936
    N=20 (10/20) [94.2s] dt_min=0.0004816661
    N=22 (11/20) [122.9s] dt_min=0.0004395582
    N=24 (12/20) [158.2s] dt_min=0.0004040793
    N=26 (13/20) [199.3s] dt_min=0.0003740534
    N=28 (14/20) [263.4s] dt_min=0.0003482637
    N=30 (15/20) [332.8s] dt_min=0.0003256547
    N=32 (16/20) [406.2s] dt_min=0.0003061848
    N=34 (17/20) [480.3s] dt_min=0.0002898024
    N=36 (18/20) [555.0s] dt_min=0.0002753661
    N=38 (19/20) [629.1s] dt_min=0.0002626489
    N=40 (20/20) [708.0s] dt_min=0.0002514099
  ℱ=10 total: 708.1s (11.8m)
  Sweeping ℱ=20 (5/10)
    N=2 (1/20) [3.4s] dt_min=0.001808931
    N=4 (2/20) [8.2s] dt_min=0.001047463
    N=6 (3/20) [17.6s] dt_min=0.0007368117
    N=8 (4/20) [21.5s] dt_min=0.00056844
    N=10 (5/20) [27.5s] dt_min=0.0004629794
    N=12 (6/20) [36.3s] dt_min=0.0003906434
    N=14 (7/20) [48.9s] dt_min=0.0003381777
    N=16 (8/20) [65.5s] dt_min=0.0002980289
    N=18 (9/20) [86.2s] dt_min=0.0002663007
    N=20 (10/20) [112.0s] dt_min=0.0002408374
    N=22 (11/20) [143.1s] dt_min=0.0002197838
    N=24 (12/20) [181.8s] dt_min=0.0002020448
    N=26 (13/20) [227.7s] dt_min=0.0001870322
    N=28 (14/20) [284.3s] dt_min=0.0001741378
    N=30 (15/20) [348.4s] dt_min=0.0001628337
    N=32 (16/20) [425.8s] dt_min=0.0001530991
    N=34 (17/20) [495.7s] dt_min=0.0001449081
    N=36 (18/20) [565.5s] dt_min=0.0001376902
    N=38 (19/20) [637.5s] dt_min=0.0001313318
    N=40 (20/20) [711.7s] dt_min=0.0001257124
  ℱ=20 total: 711.7s (11.9m)
  Sweeping ℱ=50 (6/10)
    N=2 (1/20) [1.1s] dt_min=0.0007235741
    N=4 (2/20) [3.7s] dt_min=0.0004189878
    N=6 (3/20) [11.5s] dt_min=0.0002947285
    N=8 (4/20) [15.5s] dt_min=0.000227381
    N=10 (5/20) [21.4s] dt_min=0.000185198
    N=12 (6/20) [29.9s] dt_min=0.0001562647
    N=14 (7/20) [41.7s] dt_min=0.0001352796
    N=16 (8/20) [58.1s] dt_min=0.0001192213
    N=18 (9/20) [78.6s] dt_min=0.0001065312
    N=20 (10/20) [105.0s] dt_min=9.634701e-05
    N=22 (11/20) [138.0s] dt_min=8.792674e-05
    N=24 (12/20) [178.0s] dt_min=8.083232e-05
    N=26 (13/20) [225.2s] dt_min=7.482846e-05
    N=28 (14/20) [279.6s] dt_min=6.967185e-05
    N=30 (15/20) [342.6s] dt_min=6.515141e-05
    N=32 (16/20) [415.4s] dt_min=6.125855e-05
    N=34 (17/20) [488.6s] dt_min=5.798276e-05
    N=36 (18/20) [561.0s] dt_min=5.509614e-05
    N=38 (19/20) [634.0s] dt_min=5.255324e-05
