alpha,delta_theta_weighted,delta_theta_sonly,a_opt,b_opt,phi_opt
-2,0.03387728837,0.07185546529,0.9359303201,0.3521852295,0.3599049017
-1.8,0.04347068517,0.2899735998,0.8983033261,0.4393758463,0.4549037413
-1.6,0.04476543563,0.089911995,0.5905101034,0.8070302459,0.9391055574
-1.4,0.10369471,0.1036952596,0.9999997598,-0.0006931529498,6.282492154
-1.2,0.1308977804,0.1403771774,-0.9686137841,0.248570588,2.890388408
-1,0.04571241252,0.04604653981,-0.9950276581,-0.09959899364,3.241357056
-0.8,0.1947097793,0.2546591814,0.727628309,-0.6859716058,5.527247142
-0.6,0.03905036984,0.03905036985,0.9999999997,2.440592517e-05,2.440592517e-05
-0.4,0.03328124539,0.0332812502,-0.9999999811,0.0001941691806,3.141398484
-0.2,0.0353470044,0.03606451853,-0.9828083465,-0.1846286924,3.3272867
0,0.02500000081,0.02500000081,1,6.452077131e-09,6.452077131e-09
0.2,0.02690819828,0.02690819828,1,6.646378465e-07,6.646378465e-07
0.4,0.0320120958,0.03201209581,0.9999999997,2.295612022e-05,2.295612023e-05
0.6,0.03977625083,0.03977625115,1,5.363518583e-06,5.363518583e-06
0.8,0.04155119632,0.0575517204,0.8303190012,0.5572883959,0.5911164695
1,0.09564418507,0.1048001182,0.8747010482,-0.484662848,5.777207629
1.2,0.05963743676,0.05965812238,0.999761023,0.02186085408,0.02186259566
1.4,0.04120071103,0.04613876904,-0.7635573016,0.645740077,2.439600518
1.6,0.04374249212,0.09415340597,0.1987634002,0.9800475043,1.370700343
1.8,0.06094185237,0.08836449008,-0.8038979607,0.5947672391,2.504616576
2,0.1301343407,0.192634072,0.8391441325,0.5439091146,0.5750885685
